2022-01-02 19:47:45
Density	Radius	Energy	Rest mass
3.69001121E+17	5.50955273E+00	1.32753644E+54	7.05771196E-01
3.70347791E+17	5.50905469E+00	1.32756176E+54	7.05789458E-01
3.71694461E+17	5.50869238E+00	1.32758592E+54	7.05806881E-01
3.73041132E+17	5.50818994E+00	1.32760893E+54	7.05823480E-01
3.74387802E+17	5.50784619E+00	1.32763081E+54	7.05839267E-01
3.75734472E+17	5.50742969E+00	1.32765159E+54	7.05854256E-01
3.77081142E+17	5.50689014E+00	1.32767128E+54	7.05868459E-01
3.78427813E+17	5.50644531E+00	1.32768989E+54	7.05881889E-01
3.79774483E+17	5.50602393E+00	1.32770745E+54	7.05894560E-01
3.81121153E+17	5.50569336E+00	1.32772398E+54	7.05906482E-01
3.82467823E+17	5.50513525E+00	1.32773948E+54	7.05917669E-01
3.83814494E+17	5.50474707E+00	1.32775398E+54	7.05928131E-01
3.85161164E+17	5.50428564E+00	1.32776750E+54	7.05937882E-01
3.86507834E+17	5.50392236E+00	1.32778004E+54	7.05946933E-01
3.87854504E+17	5.50350488E+00	1.32779163E+54	7.05955294E-01
3.89201175E+17	5.50301416E+00	1.32780227E+54	7.05962977E-01
3.90547845E+17	5.50269287E+00	1.32781200E+54	7.05969994E-01
3.91894515E+17	5.50218457E+00	1.32782081E+54	7.05976355E-01
3.93241186E+17	5.50184473E+00	1.32782873E+54	7.05982071E-01
3.94587856E+17	5.50143994E+00	1.32783577E+54	7.05987152E-01
3.95934526E+17	5.50093652E+00	1.32784195E+54	7.05991609E-01
3.97281196E+17	5.50050049E+00	1.32784727E+54	7.05995452E-01
3.98627867E+17	5.50010498E+00	1.32785176E+54	7.05998691E-01
3.99974537E+17	5.49974561E+00	1.32785543E+54	7.06001336E-01
4.01321207E+17	5.49942187E+00	1.32785828E+54	7.06003397E-01
4.02667877E+17	5.49887842E+00	1.32786034E+54	7.06004884E-01
4.04014548E+17	5.49846338E+00	1.32786162E+54	7.06005805E-01
4.05361218E+17	5.49805469E+00	1.32786212E+54	7.06006170E-01
4.06707888E+17	5.49772217E+00	1.32786187E+54	7.06005989E-01
4.08054559E+17	5.49738623E+00	1.32786088E+54	7.06005270E-01
4.09401229E+17	5.49686523E+00	1.32785915E+54	7.06004022E-01
4.10747899E+17	5.49643848E+00	1.32785670E+54	7.06002255E-01
4.12094569E+17	5.49604590E+00	1.32785354E+54	7.05999976E-01
4.13441240E+17	5.49572021E+00	1.32784969E+54	7.05997194E-01
4.14787910E+17	5.49538721E+00	1.32784515E+54	7.05993918E-01
4.16134580E+17	5.49487012E+00	1.32783994E+54	7.05990156E-01
4.17481250E+17	5.49446094E+00	1.32783407E+54	7.05985916E-01
4.18827921E+17	5.49406592E+00	1.32782754E+54	7.05981205E-01
4.20174591E+17	5.49374023E+00	1.32782038E+54	7.05976032E-01
4.21521261E+17	5.49342187E+00	1.32781259E+54	7.05970405E-01
4.22867931E+17	5.49292236E+00	1.32780417E+54	7.05964331E-01
4.24214602E+17	5.49250049E+00	1.32779515E+54	7.05957818E-01
4.25561272E+17	5.49212451E+00	1.32778553E+54	7.05950872E-01
4.26907942E+17	5.49178418E+00	1.32777533E+54	7.05943502E-01
4.28254613E+17	5.49146045E+00	1.32776454E+54	7.05935715E-01
4.29601283E+17	5.49098340E+00	1.32775319E+54	7.05927517E-01
4.30947953E+17	5.49069092E+00	1.32774128E+54	7.05918916E-01
4.32294623E+17	5.49022998E+00	1.32772882E+54	7.05909919E-01
4.33641294E+17	5.48988867E+00	1.32771582E+54	7.05900531E-01
4.34987964E+17	5.48952832E+00	1.32770230E+54	7.05890761E-01
4.36334634E+17	5.48909375E+00	1.32768825E+54	7.05880614E-01
4.37681304E+17	5.48875342E+00	1.32767368E+54	7.05870096E-01
4.39027975E+17	5.48837305E+00	1.32765862E+54	7.05859216E-01
4.40374645E+17	5.48801074E+00	1.32764306E+54	7.05847977E-01
4.41721315E+17	5.48771729E+00	1.32762701E+54	7.05836387E-01
4.43067986E+17	5.48742334E+00	1.32761049E+54	7.05824452E-01
4.44414656E+17	5.48692773E+00	1.32759349E+54	7.05812178E-01
4.45761326E+17	5.48652930E+00	1.32757604E+54	7.05799571E-01
4.47107996E+17	5.48618652E+00	1.32755813E+54	7.05786636E-01
4.48454667E+17	5.48587207E+00	1.32753978E+54	7.05773379E-01
4.49801337E+17	5.48552148E+00	1.32752099E+54	7.05759806E-01
4.51148007E+17	5.48510498E+00	1.32750177E+54	7.05745923E-01
4.52494677E+17	5.48477197E+00	1.32748213E+54	7.05731734E-01
4.53841348E+17	5.48442285E+00	1.32746207E+54	7.05717245E-01
4.55188018E+17	5.48406006E+00	1.32744160E+54	7.05702463E-01
4.56534688E+17	5.48375830E+00	1.32742074E+54	7.05687391E-01
4.57881358E+17	5.48346045E+00	1.32739948E+54	7.05672035E-01
4.59228029E+17	5.48300537E+00	1.32737784E+54	7.05656400E-01
4.60574699E+17	5.48271533E+00	1.32735582E+54	7.05640491E-01
4.61921369E+17	5.48234814E+00	1.32733343E+54	7.05624312E-01
4.63268040E+17	5.48199805E+00	1.32731067E+54	7.05607870E-01
4.64614710E+17	5.48172119E+00	1.32728755E+54	7.05591169E-01
4.65961380E+17	5.48142773E+00	1.32726408E+54	7.05574212E-01
4.67308050E+17	5.48096973E+00	1.32724026E+54	7.05557006E-01
4.68654721E+17	5.48069287E+00	1.32721611E+54	7.05539554E-01
4.70001391E+17	5.48028467E+00	1.32719162E+54	7.05521862E-01
4.71348061E+17	5.47998437E+00	1.32716681E+54	7.05503932E-01
4.72694731E+17	5.47971729E+00	1.32714167E+54	7.05485771E-01
4.74041402E+17	5.47942773E+00	1.32711622E+54	7.05467382E-01
4.75388072E+17	5.47897998E+00	1.32709046E+54	7.05448769E-01
4.76734742E+17	5.47871045E+00	1.32706440E+54	7.05429936E-01
4.78081413E+17	5.47834717E+00	1.32703804E+54	7.05410889E-01
4.79428083E+17	5.47801074E+00	1.32701138E+54	7.05391630E-01
4.80774753E+17	5.47774121E+00	1.32698444E+54	7.05372164E-01
